week;datum_dinsdag;dinsdag_interval;loopscholing_dinsdag;trainer_dinsdag;datum_zaterdag;zaterdag_duurloop;loopscholing_zaterdag;optionele_dagen;loopscholing_optionele_dagen;fase;wedstrijd;created_at;updated_at;trainer_zaterdag
26;24-06-2025;3x3 min interval licht: 3 min + 3 min + 3 min met lage intensiteit;Lichte loopscholing, mobiliteit;virgilsmit@gmail.com;28-06-2025;10 min rustig + 5x1 min tempowisselingen + 10 min rustig;Core stabiliteit, lichte mobiliteit;"donderdag: rustige duurloop 3.0 km
zondag: lichte duurloop 4.0 km";Core stabiliteit en mobiliteitsoefeningen;Zomeronderhoud;;;;dannyvdw@me.com
27;01-07-2025;4x2 min interval licht: 2 min + 2 min + 2 min + 2 min met lage intensiteit;Rustig rekken, ademhalingsoefeningen;dannyvdw@me.com;05-07-2025;5 min warming-up + 3x5 min heuvelop lopen + 10 min rustig uitlopen;Balansoefeningen, rustige loopscholing;"donderdag: rustige duurloop 3.0 km
zondag: lichte duurloop 4.0 km";Core stabiliteit en mobiliteitsoefeningen;Zomeronderhoud;;;;virgilsmit@gmail.com
28;08-07-2025;Rustige fartlek: 3 min + 3 min + 3 min met lage intensiteit;Core stabiliteit, lichte mobiliteit;virgilsmit@gmail.com;12-07-2025;12 min duurloop + 4x30 sec versnellingen + 8 min rustig;Lichte loopscholing, ontspannen lopen;"donderdag: rustige duurloop 3.0 km
zondag: lichte duurloop 4.0 km";Core stabiliteit en mobiliteitsoefeningen;Zomeronderhoud;;;;dannyvdw@me.com
29;15-07-2025;Lichte tempoblokken: 4 min + 3 min + 3 min met lage intensiteit;Balansoefeningen, rustige loopscholing;dannyvdw@me.com;19-07-2025;15 min rustige duurloop afgewisseld met loopscholing oefeningen;Core training, ademhaling;"donderdag: rustige duurloop 3.0 km
zondag: lichte duurloop 4.0 km";Core stabiliteit en mobiliteitsoefeningen;Zomeronderhoud;;;;virgilsmit@gmail.com
30;22-07-2025;Herstelinterval: 2 min + 2 min + 1 min met lage intensiteit;Lichte loopscholing, ontspannen lopen;dannyvdw@me.com;26-07-2025;10 min rustig + 5 min skipping + 10 min duurloop + 5 min cooling down;Rustige loopscholing met kleine versnellingen;"donderdag: rustige duurloop 3.0 km
zondag: lichte duurloop 4.0 km";Core stabiliteit en mobiliteitsoefeningen;Zomeronderhoud;;;;virgilsmit@gmail.com
31;29-07-2025;Lichte interval met versnellingen: 1 min + 1 min + 2 min + 2 min met lage intensiteit;Core training, ademhaling;virgilsmit@gmail.com;02-08-2025;20 min fartlek met afwisselende tempo's en ondergronden;Lichte loopscholing, mobiliteit;"donderdag: rustige duurloop 3.0 km
zondag: lichte duurloop 4.0 km";Core stabiliteit en mobiliteitsoefeningen;Zomeronderhoud;;;;dannyvdw@me.com
32;05-08-2025;Rustige duurloop 8 km: 8 min met lage intensiteit;Rustige loopscholing met kleine versnellingen;dannyvdw@me.com;09-08-2025;8 min rustig + 6x20 sec versnelling + 10 min rustig uitlopen;Rustig rekken, ademhalingsoefeningen;"donderdag: rustige duurloop 3.0 km
zondag: lichte duurloop 4.0 km";Core stabiliteit en mobiliteitsoefeningen;Zomeronderhoud;;;;virgilsmit@gmail.com
33;12-08-2025;3x3 min interval licht: 3 min + 3 min + 3 min met lage intensiteit;Lichte loopscholing, mobiliteit;virgilsmit@gmail.com;16-08-2025;12 min duurloop + 5 min lichte heuvelop en aflopen;Core stabiliteit, lichte mobiliteit;"donderdag: rustige duurloop 3.0 km
zondag: lichte duurloop 4.0 km";Core stabiliteit en mobiliteitsoefeningen;Zomeronderhoud;;;;dannyvdw@me.com
34;19-08-2025;4x2 min interval licht: 2 min + 2 min + 2 min + 2 min met lage intensiteit;Rustig rekken, ademhalingsoefeningen;virgilsmit@gmail.com;23-08-2025;10 min rustig + 10 min tempoblokken + 10 min cooling down;Balansoefeningen, rustige loopscholing;"donderdag: rustige duurloop 3.0 km
zondag: lichte duurloop 4.0 km";Core stabiliteit en mobiliteitsoefeningen;Zomeronderhoud;;;;dannyvdw@me.com
35;26-08-2025;Rustige fartlek: 3 min + 3 min + 3 min met lage intensiteit;Core stabiliteit, lichte mobiliteit;dannyvdw@me.com;30-08-2025;10 min rustig + 5x1 min tempowisselingen + 10 min rustig;Lichte loopscholing, ontspannen lopen;"donderdag: rustige duurloop 3.0 km
zondag: lichte duurloop 4.0 km";Core stabiliteit en mobiliteitsoefeningen;Zomeronderhoud;;;;virgilsmit@gmail.com
